id,exigence,cas,precondition,entree,attendu,obtenu,statut,version,preuve,date,responsable
MIS-01,Stocker vidéos autorisées,Actif sans preuve,Utilisateur authentifié,asset sans rights_basis,Rejet RIGHTS_NOT_VERIFIED,,A_FAIRE,,,,
MIS-03,Détecter échiquier,Corpus contrôlé,Jeu test gelé,1000 frames,Rappel >= 95 %,,A_FAIRE,,,,
MIS-05,Convertir en position,Frame isolée,Échiquier détecté,image sans historique,Position partielle sans FEN inventée,,A_FAIRE,,,,
MIS-09,Lien horodaté,Position connue,Timeline indexée,FEN et video_id,URL ouverte à P90 <= 2 s,,A_FAIRE,,,,
APP-01,Recevoir FEN,FEN invalide,API disponible,FEN sans roi,Erreur structurée INVALID_FEN,,A_FAIRE,,,,
APP-03,Théorie Lichess,HTTP 429,Client simulé,requête ouverture,Pause complète 60 s puis reprise,,A_FAIRE,,,,
APP-04,Repli Stockfish,Position hors théorie,Moteur disponible,FEN valide,Coups légaux dans budget,,A_FAIRE,,,,
APP-05,RAG,Question annotée,Corpus indexé,question test,Recall@5 >= 0.80,,A_FAIRE,,,,
APP-10,Réponse dégradée,Milvus indisponible,Coeur disponible,FEN valide,Analyse sans documents avec warning,,A_FAIRE,,,,
APP-11,Idempotence,Requête répétée,request_id fixe,même payload,Un seul résultat logique,,A_FAIRE,,,,
ENG-08,MCP SDK v2,Contrats,Serveur démarré,tools/list et calls,Conforme clients cibles,,A_FAIRE,,,,
SEC-01,Scopes,Outil vidéo interdit,Token chess:read,start_indexing,Refus autorisation,,A_FAIRE,,,,
SEC-03,SSRF,URL interne,Ingestion distante,127.0.0.1,Rejet avant connexion,,A_FAIRE,,,,
OPS-02,Restauration,Perte Mongo,Backup valide,scénario incident,RPO/RTO respectés,,A_FAIRE,,,,
